Height of Entrance,Height of the middle of the vault,Angle of Opening in Degree,Truss frequency along the length,Truss frequency space along the width,Truss depth,Number of elements,Number of joints,Total length of elements,Length of the longest member,Maximum displacement,Structure mass
22,15,2,16,12,-2.9,1536,413,7518.79838310361,6.94002009033541,1.84265467533338,28329.3134404583
22,15,0,13,7,-2.9,728,203,4710.25062784617,9.74684312869698,1.09913592864983,19659.7518045853
22,15,11,13,7,-3,728,203,4846.79314365402,9.77955970127502,1.47942370849369,20513.3097282615
22,15,8,14,12,-3,1344,363,7255.44711471313,8.19985591095358,2.12367605973518,27876.1089718614
22,15,19,13,14,-3,1456,392,8191.74205991901,9.31398045314997,2.97094149223716,30408.2706164919
22,15,14,17,11,-3,1496,403,7516.31196543013,6.96531699299445,2.12350567847959,28994.9806352515
22,15,16,18,9,-3,1296,352,6774.33645810983,7.74839557577723,1.91588918345619,27226.8160893821
22,15,4,15,8,-3,960,264,5580.7736960858,8.638283215934,1.28197128881138,22766.6122702069
22,26,2,13,6,-3,624,176,4629.35762647186,11.7914496531582,1.19250843119886,21667.0508357351
22,18,4,21,14,-3,2352,624,9838.37566902674,5.22921576323851,2.05502430824188,36673.6151667743
22,15,4,12,13,-3,1248,338,7207.1217487026,9.32389264617203,2.25794850804308,28212.1475731824
22,15,1,18,11,-3,1584,426,7520.71427467699,6.37089842934369,1.5070451304687,28514.7768988768
22,15,27,16,4,-3,512,149,4101.41989172756,16.1648367905789,2.38863400711064,20271.6094659599
22,15,0,16,6,-3,768,215,4841.18430256519,11.5012604997686,1.03146660760114,21407.8718295608
22,15,13,16,7,-3,896,248,5407.90380639648,9.90600079741222,1.54131466072577,22859.7374688615
22,15,7,21,10,-2.9,1680,452,7703.8779142401,6.97801846021743,1.62230009219812,30116.1547421955
22,15,0,16,13,-3,1664,446,7994.55939886754,6.84778713993343,1.85481592643387,29991.6105147984
22,19,12,18,7,-3,1008,278,5916.87641296357,10.0696398703112,1.38106690634741,25743.3483137193
22,15,23,18,13,-2.7,1872,500,8689.4602314403,6.84817772247774,2.93592392410387,31870.808100505
22,17,0,18,7,-2.8,1008,278,5655.30521735613,9.95496180524885,1.08658285603039,24007.6275204004
22,15,16,18,8,-2.8,1152,315,6207.65576277032,8.67233522003978,1.95686432904463,25612.1861836214
22,16,1,18,12,-2.5,1728,463,7720.70672581913,6.08230469863789,2.01614523561485,29180.7516152757
22,15,26,18,8,-2.9,1152,315,6353.70542655019,8.71119388713638,2.53388916602295,26668.8911558436
22,45,19,18,13,-2.5,1872,500,9726.40032311306,7.08166284683027,2.52094666988266,43437.1198914468
22,45,0,18,8,-2.5,1152,315,7247.49232422839,11.4289627159646,1.59196949847268,38683.073838156
22,35,28,18,14,-2.6,2016,537,9956.37739936334,6.77741051402939,2.93937649022941,38525.5497178538
22,19,20,18,8,-3,1152,315,6473.90863669487,8.82165249074571,1.9501537995775,27359.1418709701
22,27,24,18,13,-3,1872,500,9308.48334760545,6.55931148859137,2.70818960175929,36971.1800601503
22,29,20,18,9,-3,1296,352,7359.354654065,8.03110465559335,1.80179552422938,32316.730605033
22,17,17,18,10,-2.7,1440,389,7194.01954893286,6.92613931599134,2.31174630912949,28615.0604328318
22,36,7,18,12,-2.5,1728,463,8601.14183110807,6.26032922027759,2.12334403647131,37030.0238870643
22,18,22,18,13,-2.7,1872,500,8761.40444636655,6.6997000010072,2.64083252591327,32982.3778130461
