Height of Entrance,Height of the middle of the vault,Angle of Opening in Degree,Truss frequency along the length,Truss frequency space along the width,Truss depth,Number of elements,Number of joints,Total length of elements,Length of the longest member,Maximum displacement,Structure mass
21,20,27,24,5,-2.5,960,270,6040.23039944804,13.2319246439974,2.6908946881871,31759.950900089
18,32,21,21,8,-1.6,1344,366,6966.00593948741,8.26486702557487,2.94625626942693,30007.1440611533
28,19,14,30,11,-2.8,2640,702,10852.4340396545,7.82092375982394,2.44038385750651,45350.961138251
23,26,26,42,4,-2.4,1344,383,9534.11917100938,16.8782567943357,2.7996268133144,53715.5662582207
17,16,38,38,13,-1.9,3952,1040,11787.2666610539,4.43356224085134,2.99892683322116,53988.9451699379
29,26,1,26,5,-2.1,1040,292,6961.42821884214,17.0819667641926,2.99930976799759,42806.1409956434
24,15,16,36,5,-2.1,1440,402,7794.94057044211,14.3110118844506,2.99973412048363,39088.9033534538
24,25,12,20,12,-1.6,1920,513,8261.43100879497,6.11120367579231,2.92449362831115,33557.6796263552
16,18,42,29,6,-2.3,1392,384,6962.49141071284,9.28959770571389,2.96846615715279,30356.7145587436
21,42,33,38,13,-1.6,3952,1040,14223.4541797081,6.56492439875937,3.57841874333084,65020.8082795324
26,43,10,19,6,-1.7,912,254,6637.95999378745,14.0737810678615,2.99230263558319,42512.5311762739
24,33,44,17,14,-1.9,1904,508,9682.91090838446,7.9252235380193,2.98796587251177,44555.9565617522
29,26,34,20,5,-2.8,800,226,6141.54609607787,17.0819667641926,2.99022084753983,32405.2152966944
18,30,39,23,12,-2.4,2208,588,9704.73434689068,5.44875217218755,2.9067443311929,37631.0397274591
23,31,35,37,7,-2.6,2072,563,10882.6295964541,10.616699223437,2.94526124151242,50365.2902434744
16,26,31,46,8,-1.9,2944,791,11522.0184471702,7.04035034754122,2.95676988123386,48614.6999426525
20,34,20,42,11,-1.6,3696,978,13077.5491631328,6.37880601827145,2.99927935772247,57038.3113168563
28,26,37,27,12,-2,2592,688,10797.6660123788,7.10914670860943,2.96549965935032,51548.7895926299
29,40,37,36,13,-2.2,3744,986,15067.1818894293,6.91210660842562,2.98792202778136,71816.0594437369
27,32,24,26,11,-1.7,2288,610,9953.40631072298,7.53642974094776,2.99871536745236,45172.2086572598
20,24,19,12,10,-2.1,960,263,6009.95463417047,9.46044932432229,2.97812211040918,23643.9447559053
21,26,30,20,11,-1.6,1760,472,8009.33723412732,6.04743902524148,2.99942868228726,33936.9513276433
24,26,2,30,10,-2,2400,641,9622.24805342992,7.51584670490902,2.3637436113839,42989.5469413579
29,24,30,42,8,-2,2688,723,11927.9536218544,11.0524164367573,2.96621864435306,61554.1076120337
25,18,0,40,4,-2,1280,365,8198.61464549672,18.2154316025192,2.99197324526168,51413.2224621985
22,42,41,24,3,-2.3,576,172,6402.26082360382,24.9520544246635,1.44251576758965,48964.4474767832
28,31,6,23,9,-3,1656,447,8791.69756892395,9.72148479613091,1.58135431956806,41473.2969994717
27,35,28,33,10,-2.3,2640,704,11937.2291525014,8.46153359405164,2.99052054089992,54551.9400580931
25,28,13,41,8,-2.1,2624,706,11616.5211928226,9.81014978918873,2.41354165788449,58771.333543772
16,22,11,34,6,-1.8,1632,449,7745.17912892004,9.22043818511096,2.17321426658003,38716.294640145
18,26,4,37,11,-2.5,3256,863,11835.9572511204,5.72181284179588,1.59781152286018,48845.6446029681
16,35,35,36,7,-1.8,2016,548,9925.69211995594,10.182744938619,2.9232718799193,53032.7936431234
16,19,25,17,6,-2.6,816,228,5003.38963514685,9.42700120778578,1.89238925857583,22081.3650394597
19,42,4,15,6,-2.4,720,202,5471.42290116821,13.8353855478425,1.69301821004049,30679.6973638255
